language,vowel,sex,F1,F2,source_id,audio
English (SSBE),iː,M,280,2249,deterding1997,
English (SSBE),ɪ,M,367,1757,deterding1997,
English (SSBE),e,M,494,1650,deterding1997,
English (SSBE),æ,M,690,1550,deterding1997,
English (SSBE),ʌ,M,644,1259,deterding1997,
English (SSBE),ɑː,M,646,1155,deterding1997,
English (SSBE),ɒ,M,558,1047,deterding1997,
English (SSBE),ɔː,M,415,828,deterding1997,
English (SSBE),ʊ,M,379,1173,deterding1997,
English (SSBE),uː,M,316,1191,deterding1997,
English (SSBE),ɜː,M,478,1436,deterding1997,
English (SSBE),iː,F,303,2654,deterding1997,
English (SSBE),ɪ,F,384,2174,deterding1997,
English (SSBE),e,F,719,2063,deterding1997,
English (SSBE),æ,F,1018,1799,deterding1997,
English (SSBE),ʌ,F,914,1459,deterding1997,
English (SSBE),ɑː,F,910,1316,deterding1997,
English (SSBE),ɒ,F,751,1215,deterding1997,
English (SSBE),ɔː,F,389,888,deterding1997,
English (SSBE),ʊ,F,410,1340,deterding1997,
English (SSBE),uː,F,328,1437,deterding1997,
English (SSBE),ɜː,F,606,1695,deterding1997,
French,i,M,310,2005,gendrot2005,
French,y,M,336,1803,gendrot2005,
French,e,M,370,1850,gendrot2005,
French,ɛ,M,438,1717,gendrot2005,
French,a,M,557,1444,gendrot2005,
French,œ,M,400,1445,gendrot2005,
French,ø,M,384,1474,gendrot2005,
French,ɔ,M,456,1203,gendrot2005,
French,o,M,397,1041,gendrot2005,
French,u,M,371,1105,gendrot2005,
French,i,F,348,2365,gendrot2005,
French,y,F,371,2063,gendrot2005,
French,e,F,423,2176,gendrot2005,
French,ɛ,F,526,2016,gendrot2005,
French,a,F,685,1677,gendrot2005,
French,œ,F,436,1643,gendrot2005,
French,ø,F,420,1693,gendrot2005,
French,ɔ,F,528,1347,gendrot2005,
French,o,F,438,1140,gendrot2005,
French,u,F,404,1153,gendrot2005,
German,a,M,694,1372,sendlmeier2006,
German,aː,M,737,1275,sendlmeier2006,
German,eː,M,348,2126,sendlmeier2006,
German,ɛ,M,489,1817,sendlmeier2006,
German,ɛː,M,482,1902,sendlmeier2006,
German,ɪ,M,369,1902,sendlmeier2006,
German,iː,M,263,2171,sendlmeier2006,
German,ɔ,M,537,1074,sendlmeier2006,
German,oː,M,383,841,sendlmeier2006,
German,ʊ,M,391,1010,sendlmeier2006,
German,uː,M,310,854,sendlmeier2006,
German,ʏ,M,373,1543,sendlmeier2006,
German,yː,M,302,1722,sendlmeier2006,
German,œ,M,474,1477,sendlmeier2006,
German,øː,M,371,1501,sendlmeier2006,
German,ə,M,517,1447,sendlmeier2006,
German,a,F,836,1586,sendlmeier2006,
German,aː,F,896,1517,sendlmeier2006,
